Grp	GrpSeq	Gram	CodePoint	CodepointMSB	isBMP	isBaseForm	isDefined	isDigit	isISOControl	isIdentifierIgnorable	isJavaIdentifierPart	isJavaIdentifierStart	isJavaLetter	isJavaLetterOrDigit	isLegal	isLetter	isLetterOrDigit	isLowerCase	isMirrored	isPrintable	isSpace	isSpaceChar	isSupplementary	isTitleCase	isUAlphabetic	isULowercase	isUUppercase	isUWhiteSpace	isUnicodeIdentifierPart	isUnicodeIdentifierStart	isUpperCase	isWhitespace	isSupplementaryCodePoint	isValidCodePoint	charCount	digit	BidiPairedBracket	CombiningClass	Direction	HanNumericValue	IntPropertyMaxValue	IntPropertyMinValue	Mirror	NumericValue	Type	toLowerCase	toTitleCase	toUpperCase	ExtendedName	ISOComment	Name	Name1_0	NameAlias	UnicodeNumericValue	Directionality
1	1	Ѐ	1024	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1024	0	0	-1	-1	0	1024	-1	1	1104	1024	1024	CYRILLIC CAPITAL LETTER IE WITH GRAVE	null	CYRILLIC CAPITAL LETTER IE WITH GRAVE	null	-	false	true
2	1	Ё	1025	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1025	0	0	-1	-1	0	1025	-1	1	1105	1025	1025	CYRILLIC CAPITAL LETTER IO	null	CYRILLIC CAPITAL LETTER IO	null	-	false	true
3	1	Ђ	1026	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1026	0	0	-1	-1	0	1026	-1	1	1106	1026	1026	CYRILLIC CAPITAL LETTER DJE	null	CYRILLIC CAPITAL LETTER DJE	null	-	false	true
4	1	Ѓ	1027	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1027	0	0	-1	-1	0	1027	-1	1	1107	1027	1027	CYRILLIC CAPITAL LETTER GJE	null	CYRILLIC CAPITAL LETTER GJE	null	-	false	true
5	1	Є	1028	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1028	0	0	-1	-1	0	1028	-1	1	1108	1028	1028	CYRILLIC CAPITAL LETTER UKRAINIAN IE	null	CYRILLIC CAPITAL LETTER UKRAINIAN IE	null	-	false	true
6	1	Ѕ	1029	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1029	0	0	-1	-1	0	1029	-1	1	1109	1029	1029	CYRILLIC CAPITAL LETTER DZE	null	CYRILLIC CAPITAL LETTER DZE	null	-	false	true
7	1	І	1030	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1030	0	0	-1	-1	0	1030	-1	1	1110	1030	1030	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I	null	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I	null	-	false	true
8	1	Ї	1031	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1031	0	0	-1	-1	0	1031	-1	1	1111	1031	1031	CYRILLIC CAPITAL LETTER YI	null	CYRILLIC CAPITAL LETTER YI	null	-	false	true
9	1	Ј	1032	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1032	0	0	-1	-1	0	1032	-1	1	1112	1032	1032	CYRILLIC CAPITAL LETTER JE	null	CYRILLIC CAPITAL LETTER JE	null	-	false	true
10	1	Љ	1033	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1033	0	0	-1	-1	0	1033	-1	1	1113	1033	1033	CYRILLIC CAPITAL LETTER LJE	null	CYRILLIC CAPITAL LETTER LJE	null	-	false	true
11	1	Њ	1034	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1034	0	0	-1	-1	0	1034	-1	1	1114	1034	1034	CYRILLIC CAPITAL LETTER NJE	null	CYRILLIC CAPITAL LETTER NJE	null	-	false	true
12	1	Ћ	1035	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1035	0	0	-1	-1	0	1035	-1	1	1115	1035	1035	CYRILLIC CAPITAL LETTER TSHE	null	CYRILLIC CAPITAL LETTER TSHE	null	-	false	true
13	1	Ќ	1036	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1036	0	0	-1	-1	0	1036	-1	1	1116	1036	1036	CYRILLIC CAPITAL LETTER KJE	null	CYRILLIC CAPITAL LETTER KJE	null	-	false	true
14	1	Ѝ	1037	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1037	0	0	-1	-1	0	1037	-1	1	1117	1037	1037	CYRILLIC CAPITAL LETTER I WITH GRAVE	null	CYRILLIC CAPITAL LETTER I WITH GRAVE	null	-	false	true
15	1	Ў	1038	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1038	0	0	-1	-1	0	1038	-1	1	1118	1038	1038	CYRILLIC CAPITAL LETTER SHORT U	null	CYRILLIC CAPITAL LETTER SHORT U	null	-	false	true
16	1	Џ	1039	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1039	0	0	-1	-1	0	1039	-1	1	1119	1039	1039	CYRILLIC CAPITAL LETTER DZHE	null	CYRILLIC CAPITAL LETTER DZHE	null	-	false	true
17	1	А	1040	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1040	0	0	-1	-1	0	1040	-1	1	1072	1040	1040	CYRILLIC CAPITAL LETTER A	null	CYRILLIC CAPITAL LETTER A	null	-	false	true
18	1	Б	1041	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1041	0	0	-1	-1	0	1041	-1	1	1073	1041	1041	CYRILLIC CAPITAL LETTER BE	null	CYRILLIC CAPITAL LETTER BE	null	-	false	true
19	1	В	1042	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1042	0	0	-1	-1	0	1042	-1	1	1074	1042	1042	CYRILLIC CAPITAL LETTER VE	null	CYRILLIC CAPITAL LETTER VE	null	-	false	true
20	1	Г	1043	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1043	0	0	-1	-1	0	1043	-1	1	1075	1043	1043	CYRILLIC CAPITAL LETTER GHE	null	CYRILLIC CAPITAL LETTER GHE	null	-	false	true
21	1	Д	1044	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1044	0	0	-1	-1	0	1044	-1	1	1076	1044	1044	CYRILLIC CAPITAL LETTER DE	null	CYRILLIC CAPITAL LETTER DE	null	-	false	true
22	1	Е	1045	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1045	0	0	-1	-1	0	1045	-1	1	1077	1045	1045	CYRILLIC CAPITAL LETTER IE	null	CYRILLIC CAPITAL LETTER IE	null	-	false	true
23	1	Ж	1046	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1046	0	0	-1	-1	0	1046	-1	1	1078	1046	1046	CYRILLIC CAPITAL LETTER ZHE	null	CYRILLIC CAPITAL LETTER ZHE	null	-	false	true
24	1	З	1047	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1047	0	0	-1	-1	0	1047	-1	1	1079	1047	1047	CYRILLIC CAPITAL LETTER ZE	null	CYRILLIC CAPITAL LETTER ZE	null	-	false	true
25	1	И	1048	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1048	0	0	-1	-1	0	1048	-1	1	1080	1048	1048	CYRILLIC CAPITAL LETTER I	null	CYRILLIC CAPITAL LETTER I	null	-	false	true
26	1	Й	1049	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1049	0	0	-1	-1	0	1049	-1	1	1081	1049	1049	CYRILLIC CAPITAL LETTER SHORT I	null	CYRILLIC CAPITAL LETTER SHORT I	null	-	false	true
27	1	К	1050	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1050	0	0	-1	-1	0	1050	-1	1	1082	1050	1050	CYRILLIC CAPITAL LETTER KA	null	CYRILLIC CAPITAL LETTER KA	null	-	false	true
28	1	Л	1051	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1051	0	0	-1	-1	0	1051	-1	1	1083	1051	1051	CYRILLIC CAPITAL LETTER EL	null	CYRILLIC CAPITAL LETTER EL	null	-	false	true
29	1	М	1052	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1052	0	0	-1	-1	0	1052	-1	1	1084	1052	1052	CYRILLIC CAPITAL LETTER EM	null	CYRILLIC CAPITAL LETTER EM	null	-	false	true
30	1	Н	1053	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1053	0	0	-1	-1	0	1053	-1	1	1085	1053	1053	CYRILLIC CAPITAL LETTER EN	null	CYRILLIC CAPITAL LETTER EN	null	-	false	true
31	1	О	1054	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1054	0	0	-1	-1	0	1054	-1	1	1086	1054	1054	CYRILLIC CAPITAL LETTER O	null	CYRILLIC CAPITAL LETTER O	null	-	false	true
32	1	П	1055	32	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1055	0	0	-1	-1	0	1055	-1	1	1087	1055	1055	CYRILLIC CAPITAL LETTER PE	null	CYRILLIC CAPITAL LETTER PE	null	-	false	true
33	1	Р	1056	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1056	0	0	-1	-1	0	1056	-1	1	1088	1056	1056	CYRILLIC CAPITAL LETTER ER	null	CYRILLIC CAPITAL LETTER ER	null	-	false	true
34	1	С	1057	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1057	0	0	-1	-1	0	1057	-1	1	1089	1057	1057	CYRILLIC CAPITAL LETTER ES	null	CYRILLIC CAPITAL LETTER ES	null	-	false	true
35	1	Т	1058	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1058	0	0	-1	-1	0	1058	-1	1	1090	1058	1058	CYRILLIC CAPITAL LETTER TE	null	CYRILLIC CAPITAL LETTER TE	null	-	false	true
36	1	У	1059	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1059	0	0	-1	-1	0	1059	-1	1	1091	1059	1059	CYRILLIC CAPITAL LETTER U	null	CYRILLIC CAPITAL LETTER U	null	-	false	true
37	1	Ф	1060	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1060	0	0	-1	-1	0	1060	-1	1	1092	1060	1060	CYRILLIC CAPITAL LETTER EF	null	CYRILLIC CAPITAL LETTER EF	null	-	false	true
38	1	Х	1061	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1061	0	0	-1	-1	0	1061	-1	1	1093	1061	1061	CYRILLIC CAPITAL LETTER HA	null	CYRILLIC CAPITAL LETTER HA	null	-	false	true
39	1	Ц	1062	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1062	0	0	-1	-1	0	1062	-1	1	1094	1062	1062	CYRILLIC CAPITAL LETTER TSE	null	CYRILLIC CAPITAL LETTER TSE	null	-	false	true
40	1	Ч	1063	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1063	0	0	-1	-1	0	1063	-1	1	1095	1063	1063	CYRILLIC CAPITAL LETTER CHE	null	CYRILLIC CAPITAL LETTER CHE	null	-	false	true
41	1	Ш	1064	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1064	0	0	-1	-1	0	1064	-1	1	1096	1064	1064	CYRILLIC CAPITAL LETTER SHA	null	CYRILLIC CAPITAL LETTER SHA	null	-	false	true
42	1	Щ	1065	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1065	0	0	-1	-1	0	1065	-1	1	1097	1065	1065	CYRILLIC CAPITAL LETTER SHCHA	null	CYRILLIC CAPITAL LETTER SHCHA	null	-	false	true
43	1	Ъ	1066	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1066	0	0	-1	-1	0	1066	-1	1	1098	1066	1066	CYRILLIC CAPITAL LETTER HARD SIGN	null	CYRILLIC CAPITAL LETTER HARD SIGN	null	-	false	true
44	1	Ы	1067	33	true	true	true	false	false	false	true	true	true	true	true	true	true	false	false	true	false	false	false	false	true	false	true	false	true	true	true	false	0	-1.23456789E8	1	-1	1067	0	0	-1	-1	0	1067	-1	1	1099	1067	1067	CYRILLIC CAPITAL LETTER YERU	null	CYRILLIC CAPITAL LETTER YERU	null	-	false	true
